title,img href,text
"Военное правительство, запрет на критику королевской семьи и преследование оппозиции. Чем вызваны протесты в Таиланде",https://content.onliner.by/news/1400x5616/4c7cabfc0345a86b6f7afda34e1a115e.jpeg,Еще в марте после роспуска демократической «Партии будущего» в Таиланде начались мирные протесты.
"Белорусам приходят письма о призыве на службу. Надо ли стричься наголо, или там постригут?",https://content.onliner.by/news/970x485/d2ceeff714e0327a6943a0e79fe452ae.jpeg,Удивительная рассылка стала приходить по электронной почте некоторым белорусам: их призывают на срочную службу.
Хроника дня. Порванный госфлаг в Осиповичах и очередное обращение Тихановской,https://content.onliner.by/news/970x485/445ee0fe3064464c30c491a7974bdc41.jpeg,"Новый день и новая поствыборная хроника едва стартовавшего дня. Из Осиповичей пришла весть про пьяную выходку, которая родила новость с политическим подтекстом."
"Протесты в Таиланде, предвыборный скандал в США и убийство учителя во Франции. Международный дайджест",https://content.onliner.by/news/1400x5616/536414a545035dd91082cf7882e417cb.jpeg,Отвлечемся от белорусской протестной повестки и сосредоточимся на главных международных событиях.
"Новый ректор иняза вышла к студентам, требующим диалога. Стороны пытаются договориться о встрече",https://content.onliner.by/news/970x485/ad545ed51af6878c559c1a7ebb079fc7.png,"Telegram-канала «МГЛУ за Свободу» публикует видео из, собственно, МГЛУ, в котором вчера появился новый ректор. Запись сделана в университетском коридоре."
"Как «Европочта», только через sh. Переписка с мошенниками, мимикрирующими под реальный сервис",https://content.onliner.by/news/970x485/34f06989dc087ebb6e69dea0d892ec2b.jpeg,"Мошенничество через онлайн-покупки, авансы и данные банковских карт давно обогнало продавцов одеял и посуды. Последние хоть реальный товар продают, а тут — только воздух. В редакцию обратился Дмитрий."
Обзор первого игрового ноутбука Redmi. Что пошло не так?,https://content.onliner.by/news/1400x5616/10d21371447497978a0453d6a3e7ee45.jpeg,"Redmi G — первый игровой ноутбук под этим брендом, но очередной в ассортименте Xiaomi. Компания давно известна на этом рынке, где сейчас доминируют, правда, другие игроки."
Чтобы уши не завяли. Потестировали наушники Xiaomi — дорогие и дешевые,https://content.onliner.by/news/1400x5616/ac3560569fe81d2d14ab07954bd3109a.jpeg,"Очень сложно выбрать наушники, если вокруг «тысячи миллионов» разных брендов, у которых еще и девайсов в продуктовой линейке как нулей в госдолге страны."
Пьем кофе не спеша. Обзор стаканов с двойными стенками,https://content.onliner.by/news/970x485/e34d1ca770148e3d286eacfdfcc636a1.jpeg,"Кофе стал неотъемлемой частью жизни большинства жителей нашей планеты. Каждый год в мире выпивают около 500 млрд чашек кофе, более половины из них — за завтраком (или вместо него)."
Экономист Катерина Борнукова: Россия нам поможет? Об экономической помощи и интересах нашего главного партнера,https://content.onliner.by/news/1400x5616/098da2b8c706fc09ff1311a3227ef81b.jpeg,"Сегодня очень много говорится о том, что помощь России может сыграть решающую роль в спасении нашей национальной экономики."
Беларусь — краіна скарбаў. Лекцыя Сяргея Тарасава,https://content.onliner.by/news/1400x5616/d15ea27ba7828cd4046dc5b999701995.jpeg,"Розных скарбаў на Беларусі багата. Але размова пойдзе пра тыя, якія ўяўляюць цікавасць для археалогіі і нумізматыкі — навукі аб манетах і грашовых сістэмах."
"Беларуская літаратура, якую вы не ведалі. Лекцыя Віктара Марціновіча",https://content.onliner.by/news/1400x5616/0076b924c0713554002c9fd0a1f7b9ef.jpeg,"Мяне завуць Віктар Марціновіч, і я паразмаўляю з вамі пра беларускую літаратуру."
"Воскресенье в Минске: таксист заработал 95 рублей за 20 минут, и это со скидкой 50%",https://content.onliner.by/news/970x485/723243ade52d505648b79b2230bb1b87.jpeg,"Воскресенье в Минске, не касаясь прочего, — это уже привычные проблемы с мобильным интернетом."
"Часть слуцкой трассы засыпало битым стеклом: водители едут по встречной, некоторые пробили колеса",https://content.onliner.by/news/1400x5616/780ca9873144506ada2f486ecf6d5cd8.jpeg,"Необычное происшествие на слуцкой трассе (Р23, Минск — Микашевичи). В чат-бот Onliner поступило сообщение о том, что часть автодороги по направлению к Минску засыпана битым стеклом."
Разбили за плакат с цитатой из Уголовного кодекса или само разбилось? Странная история,https://content.onliner.by/news/970x485/e191b34ce09e4cfaee6f5ad19a4bfe2b.jpeg,"История странная, поэтому сначала только факты: Volkswagen был припаркован за воротами частного дома в деревне Прилесье (Минский район, не доезжая Привольного по могилевской трассе)."
Путепровод на развязке Победителей — Орловская открыт для движения,https://content.onliner.by/news/1400x5616/44c98d4db1cec2e60c107ae50c390fa2.jpeg,"Вот так тихо, почти незаметно, без фанфар и перерезания ленточек в Минске после реконструкции открыли для движения один из важнейших путепроводов: тот, что расположен на пересечении проспекта Победите"
"МВД: «Девушка повредила милицейский бус, возбуждено уголовное дело за хулиганство»",https://content.onliner.by/news/970x485/4bb7356bd9bdf92e0ae033c3253b3963.jpeg,"В МВД сообщили о том, что в Витебске сотрудники областного управления собственной безопасности и сыщики Октябрьского РОВД установили личность девушки, которая подозревается в повреждении служебного ав"
"Показалось… Посмотрите на то, чем оно на самом деле не является",https://content.onliner.by/news/970x485/760cf63eb1122e73160ae93ea68b2e5a.jpeg,"Сколько бы наука ни билась над изучением тайн мозга, все их объяснить до конца удастся не скоро. А может, и не стоит. Иначе будет сложнее радоваться странным вещам, окружающим нас."
Вчера над Минском летал крылатый беспилотник. Это был «Бусел»?,https://content.onliner.by/news/970x485/f174af464f08e757e593992281ae8cc9.jpeg,"В воскресенье, 18 октября, во время «Партизанского марша» в небе над колонной на большой высоте можно было заметить крылатый летательный аппарат."
€1800 за жилье и €700 на медстраховку: белорус переехал в богатую Баварию,https://content.onliner.by/news/1400x5616/691e5a99c7f49deabd122364e408a195.jpeg,"Пять лет назад Максиму предложили собеседование в немецкой IT-компании. Пройдя отборочные этапы, разработчик оказался в пригороде Штутгарта, после чего переехал в Мюнхен."
Минчанин похитил 10 миллионов игровых аккаунтов и «заработал» 20 тысяч рублей,https://content.onliner.by/news/970x485/adae72d59bf0142da26647b6e71f7824.jpeg,"22-летний минчанин с помощью вредоносных программ, подбирающих пароли к учетным записям, получил доступ к учетным записям на нескольких известных игровых сайтах."
В России разбился истребитель-бомбардировщик Су-34,https://content.onliner.by/news/970x485/63bf29854e223fa9579bb11e9e247a88.jpeg,Во время выполнения тренировочного полета в Хабаровском крае России разбился самолет Су-34 — многофункциональный сверхзвуковой истребитель-бомбардировщик.
Ношение перчаток против коронавируса назвали в России избыточной мерой,https://content.onliner.by/news/970x485/cddcea5c6e197915a11c99a2d22a6584.jpeg,Носить перчатки в качестве профилактики заражения коронавирусом неэффективно. Так считает главный инфекционист российского Минздрава и профессор Сеченовского университета Владимир Чуланов.
"Вопрос о финансировании отложили на 2021 год. Как сложно, оказывается, починить одну ступеньку",https://content.onliner.by/news/970x485/ff6d8c3d42da3c21b02ca3c1b1382777.jpeg,"Принятие бюджета, дефицит, ВВП, финансирование — мы привыкли слышать эти слова ближе к новому году, когда на высшем уровне обсуждают экономические показатели и строят стратегические планы."
"Застройщик снес новенький дом, потому что он был расположен слишком близко к соседям",https://content.onliner.by/news/970x485/b5610f544aada433f4f4139a72200a4f.jpeg,"Строительная компания Ashton Woods из американского штата Флорида выяснила, как важно соблюдать нормы и правила проведения работ."
Минчанка нашла на участке странный предмет со значком радиации. Приехали спасатели в химзащите,https://content.onliner.by/news/970x485/9100aabdb916e68f73960e16e21f1a5f.jpeg,"В редакцию Onliner прислали фотографию, на которой человек в костюме химзащиты склонился над чем-то неизвестным. «У нас на улице [речь о 4-м Радиаторном переулке. — Прим."
"Возможно, это самая крохотная пятиэтажка в мире. Площадь всего 64 квадратных метра",https://content.onliner.by/news/970x485/3ca8ea74f9ff75d007121b476a1f9ad1.jpeg,"Когда земля стоит очень дорого, а получить собственное жилье все равно очень хочется, приходится идти на всевозможные ухищрения. Семейная пара вынуждена была купить совсем небольшой участок."
